swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,2,0.4,0,20,23
1,2,0.4,10,20,64
1,2,0.4,25,20,63
1,2,0.4,50,18,63
1,2,0.4,100,17,64
1,2,0.4,200,16,66
2,2,0.4,0,20,18
2,2,0.4,10,20,71
2,2,0.4,25,20,69
2,2,0.4,50,20,70
2,2,0.4,100,20,68
2,2,0.4,200,20,70
3,2,0.4,0,20,17
3,2,0.4,10,19,66
3,2,0.4,25,19,66
3,2,0.4,50,14,67
3,2,0.4,100,11,71
3,2,0.4,200,8,68
4,2,0.4,0,20,18
4,2,0.4,10,19,72
4,2,0.4,25,19,72
4,2,0.4,50,18,71
4,2,0.4,100,17,72
4,2,0.4,200,13,72
5,2,0.4,0,20,18
5,2,0.4,10,18,86
5,2,0.4,25,15,86
5,2,0.4,50,10,87
5,2,0.4,100,6,86
5,2,0.4,200,1,85
