swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,4,0.4,0,21,14
1,4,0.4,10,21,56
1,4,0.4,25,21,57
1,4,0.4,50,20,55
1,4,0.4,100,21,55
1,4,0.4,200,17,54
2,4,0.4,0,21,9
2,4,0.4,10,21,63
2,4,0.4,25,21,62
2,4,0.4,50,21,62
2,4,0.4,100,21,60
2,4,0.4,200,21,63
3,4,0.4,0,21,9
3,4,0.4,10,21,58
3,4,0.4,25,21,59
3,4,0.4,50,17,58
3,4,0.4,100,12,58
3,4,0.4,200,8,58
4,4,0.4,0,21,9
4,4,0.4,10,21,66
4,4,0.4,25,21,64
4,4,0.4,50,20,63
4,4,0.4,100,18,64
4,4,0.4,200,16,64
5,4,0.4,0,21,9
5,4,0.4,10,19,71
5,4,0.4,25,15,70
5,4,0.4,50,11,70
5,4,0.4,100,6,71
5,4,0.4,200,2,69
