swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,4,0.4,0,21,19
1,4,0.4,10,21,84
1,4,0.4,25,21,83
1,4,0.4,50,21,84
1,4,0.4,100,18,84
1,4,0.4,200,19,83
2,4,0.4,0,21,14
2,4,0.4,10,21,90
2,4,0.4,25,21,94
2,4,0.4,50,21,91
2,4,0.4,100,21,91
2,4,0.4,200,21,93
3,4,0.4,0,21,14
3,4,0.4,10,21,88
3,4,0.4,25,21,88
3,4,0.4,50,21,88
3,4,0.4,100,18,88
3,4,0.4,200,15,89
4,4,0.4,0,21,13
4,4,0.4,10,21,93
4,4,0.4,25,21,95
4,4,0.4,50,21,95
4,4,0.4,100,19,95
4,4,0.4,200,18,94
5,4,0.4,0,21,14
5,4,0.4,10,20,104
5,4,0.4,25,16,104
5,4,0.4,50,11,104
5,4,0.4,100,5,107
5,4,0.4,200,1,104
