swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,1,0.4,0,22,20
1,1,0.4,10,21,83
1,1,0.4,25,22,82
1,1,0.4,50,21,82
1,1,0.4,100,22,83
1,1,0.4,200,19,83
2,1,0.4,0,22,15
2,1,0.4,10,22,89
2,1,0.4,25,22,93
2,1,0.4,50,22,89
2,1,0.4,100,22,90
2,1,0.4,200,22,91
3,1,0.4,0,22,14
3,1,0.4,10,22,85
3,1,0.4,25,20,86
3,1,0.4,50,20,86
3,1,0.4,100,17,85
3,1,0.4,200,16,87
4,1,0.4,0,22,14
4,1,0.4,10,22,92
4,1,0.4,25,21,93
4,1,0.4,50,21,93
4,1,0.4,100,20,94
4,1,0.4,200,17,95
5,1,0.4,0,22,14
5,1,0.4,10,20,103
5,1,0.4,25,16,103
5,1,0.4,50,13,103
5,1,0.4,100,8,102
5,1,0.4,200,1,102
