swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,3,0.4,0,21,26
1,3,0.4,10,21,109
1,3,0.4,25,21,109
1,3,0.4,50,21,110
1,3,0.4,100,21,109
1,3,0.4,200,21,110
2,3,0.4,0,21,20
2,3,0.4,10,21,118
2,3,0.4,25,21,119
2,3,0.4,50,21,119
2,3,0.4,100,21,117
2,3,0.4,200,21,122
3,3,0.4,0,21,19
3,3,0.4,10,21,113
3,3,0.4,25,21,114
3,3,0.4,50,20,114
3,3,0.4,100,14,114
3,3,0.4,200,9,115
4,3,0.4,0,21,19
4,3,0.4,10,21,122
4,3,0.4,25,21,122
4,3,0.4,50,21,122
4,3,0.4,100,21,122
4,3,0.4,200,16,124
5,3,0.4,0,21,19
5,3,0.4,10,18,136
5,3,0.4,25,13,136
5,3,0.4,50,8,136
5,3,0.4,100,2,137
5,3,0.4,200,1,136
