swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,2,0.4,0,21,9
1,2,0.4,10,21,32
1,2,0.4,25,21,28
1,2,0.4,50,20,31
1,2,0.4,100,18,29
1,2,0.4,200,17,29
2,2,0.4,0,21,6
2,2,0.4,10,21,32
2,2,0.4,25,21,31
2,2,0.4,50,21,31
2,2,0.4,100,21,32
2,2,0.4,200,21,32
3,2,0.4,0,21,7
3,2,0.4,10,19,32
3,2,0.4,25,18,31
3,2,0.4,50,14,31
3,2,0.4,100,6,31
3,2,0.4,200,2,31
4,2,0.4,0,21,6
4,2,0.4,10,20,33
4,2,0.4,25,19,34
4,2,0.4,50,18,36
4,2,0.4,100,16,34
4,2,0.4,200,10,33
5,2,0.4,0,21,6
5,2,0.4,10,18,38
5,2,0.4,25,15,38
5,2,0.4,50,11,38
5,2,0.4,100,8,39
5,2,0.4,200,1,39
