swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,1,0.4,0,21,7
1,1,0.4,10,21,31
1,1,0.4,25,21,28
1,1,0.4,50,21,30
1,1,0.4,100,19,29
1,1,0.4,200,16,29
2,1,0.4,0,21,5
2,1,0.4,10,21,31
2,1,0.4,25,21,31
2,1,0.4,50,21,31
2,1,0.4,100,21,31
2,1,0.4,200,21,32
3,1,0.4,0,21,5
3,1,0.4,10,21,32
3,1,0.4,25,19,32
3,1,0.4,50,14,31
3,1,0.4,100,7,30
3,1,0.4,200,4,30
4,1,0.4,0,21,5
4,1,0.4,10,21,33
4,1,0.4,25,21,33
4,1,0.4,50,19,35
4,1,0.4,100,16,34
4,1,0.4,200,9,33
5,1,0.4,0,21,6
5,1,0.4,10,20,36
5,1,0.4,25,15,36
5,1,0.4,50,10,36
5,1,0.4,100,5,36
5,1,0.4,200,1,37
