swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,2,0.4,0,21,76
1,2,0.4,10,21,160
1,2,0.4,25,21,157
1,2,0.4,50,19,156
1,2,0.4,100,20,162
1,2,0.4,200,19,158
2,2,0.4,0,21,70
2,2,0.4,10,21,168
2,2,0.4,25,21,172
2,2,0.4,50,21,169
2,2,0.4,100,21,167
2,2,0.4,200,21,167
3,2,0.4,0,21,69
3,2,0.4,10,21,162
3,2,0.4,25,21,162
3,2,0.4,50,21,162
3,2,0.4,100,17,168
3,2,0.4,200,12,166
4,2,0.4,0,21,69
4,2,0.4,10,21,172
4,2,0.4,25,21,173
4,2,0.4,50,21,172
4,2,0.4,100,20,173
4,2,0.4,200,17,173
5,2,0.4,0,21,69
5,2,0.4,10,19,234
5,2,0.4,25,15,234
5,2,0.4,50,12,233
5,2,0.4,100,5,233
5,2,0.4,200,2,234
