swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,3,0.4,0,21,7
1,3,0.4,10,21,31
1,3,0.4,25,21,27
1,3,0.4,50,19,29
1,3,0.4,100,15,28
1,3,0.4,200,11,28
2,3,0.4,0,21,5
2,3,0.4,10,21,30
2,3,0.4,25,21,30
2,3,0.4,50,21,30
2,3,0.4,100,21,30
2,3,0.4,200,21,30
3,3,0.4,0,21,5
3,3,0.4,10,20,31
3,3,0.4,25,16,31
3,3,0.4,50,13,30
3,3,0.4,100,8,31
3,3,0.4,200,3,30
4,3,0.4,0,21,5
4,3,0.4,10,21,33
4,3,0.4,25,20,33
4,3,0.4,50,15,33
4,3,0.4,100,11,33
4,3,0.4,200,7,32
5,3,0.4,0,21,5
5,3,0.4,10,19,35
5,3,0.4,25,16,36
5,3,0.4,50,11,36
5,3,0.4,100,3,35
5,3,0.4,200,1,36
