swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,3,0.4,0,21,21
1,3,0.4,10,21,85
1,3,0.4,25,21,84
1,3,0.4,50,21,86
1,3,0.4,100,20,87
1,3,0.4,200,20,85
2,3,0.4,0,21,15
2,3,0.4,10,21,93
2,3,0.4,25,21,97
2,3,0.4,50,21,92
2,3,0.4,100,21,92
2,3,0.4,200,21,96
3,3,0.4,0,21,15
3,3,0.4,10,21,89
3,3,0.4,25,20,89
3,3,0.4,50,20,90
3,3,0.4,100,18,90
3,3,0.4,200,13,92
4,3,0.4,0,21,15
4,3,0.4,10,21,96
4,3,0.4,25,21,97
4,3,0.4,50,20,96
4,3,0.4,100,19,98
4,3,0.4,200,14,98
5,3,0.4,0,21,15
5,3,0.4,10,20,107
5,3,0.4,25,14,108
5,3,0.4,50,11,108
5,3,0.4,100,6,107
5,3,0.4,200,1,106
