swapType, motifType, threshold, totalSwaps, Number of Motifs, Time(ms)
1,1,0.4,0,22,14
1,1,0.4,10,22,62
1,1,0.4,25,22,56
1,1,0.4,50,21,55
1,1,0.4,100,21,56
1,1,0.4,200,18,56
2,1,0.4,0,22,10
2,1,0.4,10,22,61
2,1,0.4,25,22,61
2,1,0.4,50,22,62
2,1,0.4,100,22,61
2,1,0.4,200,22,62
3,1,0.4,0,22,9
3,1,0.4,10,21,59
3,1,0.4,25,21,59
3,1,0.4,50,20,59
3,1,0.4,100,18,62
3,1,0.4,200,11,60
4,1,0.4,0,22,10
4,1,0.4,10,21,64
4,1,0.4,25,19,64
4,1,0.4,50,18,64
4,1,0.4,100,16,64
4,1,0.4,200,11,64
5,1,0.4,0,22,9
5,1,0.4,10,18,70
5,1,0.4,25,14,71
5,1,0.4,50,8,70
5,1,0.4,100,5,70
5,1,0.4,200,1,71
